GeneName	Biosystems	CGDB	GWAS	GO	McMahon	Confidence
ADCY4	NaN	True	NaN	NaN	NaN	Low
ADCY5	NaN	NaN	True	NaN	NaN	Low
ADGRL3	NaN	NaN	True	NaN	NaN	Low
ADH5P2	NaN	NaN	True	NaN	NaN	Low
ADIPOQ	True	True	NaN	True	NaN	High
ADIPOR1	NaN	True	NaN	NaN	NaN	Low
ADIPOR2	NaN	True	NaN	NaN	NaN	Low
ADM	NaN	True	NaN	NaN	NaN	Low
ADORA1	True	NaN	NaN	True	NaN	Medium
ADORA2A	True	NaN	NaN	True	NaN	Medium
ADRA1A	NaN	NaN	NaN	NaN	True	High
ADRA1B	NaN	NaN	NaN	NaN	True	High
ADRB1	NaN	NaN	NaN	True	NaN	Low
AEN	NaN	NaN	True	NaN	NaN	Low
AGBL2	NaN	True	NaN	NaN	NaN	Low
AGK	NaN	True	NaN	NaN	NaN	Low
AGMAT	NaN	True	NaN	NaN	NaN	Low
AGPAT5	NaN	True	NaN	NaN	NaN	Low
AGRP	True	NaN	NaN	True	NaN	Medium
AGTRAP	NaN	True	NaN	NaN	NaN	Low
AHCY	True	NaN	NaN	True	NaN	Medium
AHR	True	NaN	NaN	True	NaN	Medium
AHSA2P	NaN	NaN	True	NaN	NaN	Low
AJAP1	NaN	NaN	True	NaN	NaN	Low
AK3	NaN	True	NaN	NaN	NaN	Low
AK5	NaN	True	True	NaN	NaN	Medium
AK6P1	NaN	NaN	True	NaN	NaN	Low
AK6P2	NaN	NaN	True	NaN	NaN	Low
AKAIN1	NaN	NaN	True	NaN	NaN	Low
AKAP1	NaN	True	NaN	NaN	NaN	Low
AKAP9	NaN	NaN	True	NaN	NaN	Low
ALCAM	NaN	NaN	True	NaN	NaN	Low
ALG10B	NaN	NaN	True	NaN	NaN	Low
ALKBH2	NaN	True	NaN	NaN	NaN	Low
ALKBH3	NaN	NaN	True	NaN	NaN	Low
ALKBH4	NaN	NaN	True	NaN	NaN	Low
ALOX5AP	NaN	True	NaN	NaN	NaN	Low
ALPL	NaN	True	NaN	NaN	NaN	Low
AMELX	NaN	True	NaN	NaN	NaN	Low
AMIGO2	NaN	True	NaN	NaN	NaN	Low
AMIGO3	NaN	True	NaN	NaN	NaN	Low
ANAPC1	NaN	True	NaN	NaN	NaN	Low
ANAPC4	NaN	True	NaN	NaN	NaN	Low
ANGEL2	NaN	True	NaN	NaN	NaN	Low
ANGPT2	NaN	True	NaN	NaN	NaN	Low
ANK1	NaN	NaN	True	NaN	NaN	Low
ANK2	NaN	NaN	True	NaN	NaN	Low
ANK2-AS1	NaN	NaN	True	NaN	NaN	Low
ANK3	NaN	True	True	NaN	NaN	Medium
ANKAR	NaN	True	NaN	NaN	NaN	Low
ANKFN1	NaN	NaN	True	NaN	NaN	Low
ANKIB1	NaN	NaN	True	NaN	NaN	Low
ANKRD13D	NaN	True	NaN	NaN	NaN	Low
ANKRD18A	NaN	True	NaN	NaN	NaN	Low
ANKRD20A2	NaN	True	NaN	NaN	NaN	Low
ANKRD26	NaN	True	NaN	NaN	NaN	Low
ANKRD36	NaN	True	NaN	NaN	NaN	Low
ANKRD36B	NaN	True	NaN	NaN	NaN	Low
ANKS6	NaN	True	NaN	NaN	NaN	Low
ANP32E	NaN	NaN	True	NaN	NaN	Low
ANXA9	NaN	NaN	True	NaN	NaN	Low
AOAH	NaN	True	NaN	NaN	NaN	Low
AOC2	NaN	True	NaN	NaN	NaN	Low
AP1G1	NaN	True	NaN	NaN	NaN	Low
AP1M2	NaN	True	NaN	NaN	NaN	Low
APAF1	NaN	True	NaN	NaN	NaN	Low
APCDD1	NaN	True	NaN	NaN	NaN	Low
APH1B	NaN	True	NaN	NaN	NaN	Low
APOBEC3AP1	NaN	NaN	True	NaN	NaN	Low
APOBEC3B	NaN	True	NaN	NaN	NaN	Low
APOL1	NaN	True	NaN	NaN	NaN	Low
APOL2	NaN	True	NaN	NaN	NaN	Low
APPL1	NaN	True	NaN	NaN	NaN	Low
AQP3	NaN	True	NaN	NaN	NaN	Low
AQP5	NaN	True	NaN	NaN	NaN	Low
AQP9	NaN	True	NaN	NaN	NaN	Low
ARAP2	NaN	True	NaN	NaN	NaN	Low
ARG1	NaN	True	NaN	NaN	NaN	Low
ARHGAP1	NaN	NaN	True	NaN	NaN	Low
